Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt
2,Dopey & Grey,8,266,266,1,2,6,7,1,1,1,1,2,1,2,0,41326,0,2
2,Chi Chi,36,285,264,2,1,4,7,2,3,1,1,1,2,1,0,41326,0,1
2,Sticky,2,265,0,1,6,7,0,2,2,1,1,2,1,1,200,41326,0,4
1,Dannie & Kass [In Penang],12,307,0,2,2,5,0,2,2,1,1,1,1,2,0,41326,0,5
2,Cuddles,12,265,0,1,2,3,7,2,2,1,1,1,1,1,0,41326,0,5
2,Porridge,4,265,0,1,6,7,0,2,2,1,1,2,1,1,0,41326,0,3
2,Sultan [In Shah Alam],24,265,0,1,6,7,0,2,2,1,1,1,1,1,0,41326,0,2
2,The Four Musketeers (one),1,265,0,1,1,6,7,2,2,2,2,2,1,4,0,41326,0,3
2,Timmy And Boboy,7,247,266,3,2,4,5,2,2,1,1,1,1,2,0,41326,0,2
1,Precious,36,76,307,2,7,0,0,2,1,2,2,2,1,1,0,41324,0,9
1,Angel,24,307,307,2,5,7,0,2,2,3,3,3,1,1,0,41324,0,3
1,Female Cute Homeless Dogs,12,307,307,2,2,3,0,2,2,2,2,2,1,2,0,41324,0,4
1,Puppy,3,218,307,1,1,7,0,2,1,2,2,2,1,1,0,41324,1,0
1,Ceasar,24,103,103,1,1,2,0,3,2,1,1,2,1,1,0,41324,0,8
1,Sogo & Toro,12,179,182,3,1,0,0,2,1,3,3,3,1,2,0,41324,0,1
1,Coby,5,307,307,1,7,0,0,2,1,2,2,2,1,1,0,41324,1,10
1,Edison ****,17,173,0,1,2,7,0,3,1,3,3,3,1,1,0,41324,0,2
1,Bolt & Candy,6,307,0,3,5,7,0,2,1,1,1,1,1,2,0,41324,0,4
1,Benjamin ****,2,307,0,1,1,2,7,2,2,2,2,2,1,1,0,41324,0,4
1,Hugo ****,5,173,0,1,1,7,0,3,1,3,3,3,1,1,0,41324,0,2
1,Sun Bear ****,2,307,0,2,1,0,0,2,2,2,2,2,1,1,0,41324,0,4
1,Desmond ****,60,307,0,1,1,4,0,2,1,3,3,3,1,1,0,41324,0,4
1,Amos ****,2,307,0,1,1,2,7,2,2,2,2,2,1,1,0,41324,0,3
1,Wong Loi æºä¾ ****,36,307,0,1,2,7,0,2,1,3,3,3,1,1,0,41324,0,3
1,Tenor ****,2,307,0,1,1,2,7,2,2,2,2,2,1,1,0,41324,0,4
1,Ah Lang é¿æ ****,36,103,307,1,1,2,0,2,2,3,3,3,1,1,0,41324,0,5
1,Winnie ****,2,307,0,2,1,2,7,2,2,2,2,2,1,1,0,41324,0,4
1,BoBo ****,36,307,85,2,1,2,0,3,1,3,3,3,1,1,0,41324,0,5
1,Cute Puppies ^^,1,307,0,3,2,5,7,2,2,2,2,2,1,6,0,41326,0,13
1,Lovely Puppies,1,307,0,3,1,2,6,2,2,2,2,3,1,7,0,41326,0,4
1,Bibi,2,307,0,2,6,0,0,2,2,2,2,2,1,1,0,41326,0,5
1,Mika,12,69,0,2,2,3,0,2,1,3,3,2,1,1,0,41401,1,3
1,Three Puppies For Adoption!,2,307,0,3,1,2,0,2,1,2,2,2,1,3,0,41401,0,3
1,Puppy For Adoption!,2,307,0,2,1,2,0,2,1,2,2,2,1,1,0,41401,0,3
1,Old: Tag 66 -  - 200903,12,307,0,2,1,2,0,2,1,1,1,1,1,1,0,41326,0,3
1,D192 (020413),24,307,0,2,2,0,0,2,1,1,1,1,1,1,50,41326,0,4
1,D93(110414),49,78,0,2,1,2,0,3,1,1,1,1,1,1,500,41326,0,1
2,C4 Anusha,10,266,0,2,1,0,0,1,1,1,1,1,1,1,50,41326,0,3
2,64752 (C4),7,266,0,2,1,4,7,1,1,1,1,1,1,1,80,41326,0,1
1,,36,205,0,1,5,0,0,1,3,3,3,3,1,1,0,41326,0,4
1,D79(271213),27,307,0,2,2,0,0,1,1,1,1,1,1,1,50,41326,0,1
2,64583 (C4),15,266,0,2,1,2,6,1,1,1,1,1,1,1,60,41326,0,1
1,Old: Tag 204 -  - 200903,12,307,0,1,2,0,0,2,1,1,1,1,1,1,0,41326,0,3
2,,36,299,0,1,6,7,0,1,1,3,3,3,1,1,0,41326,0,1
1,Old: Bulldog,48,82,0,2,2,7,0,2,1,3,3,3,1,1,0,41326,0,7
2,,36,266,0,2,1,2,0,1,1,3,3,3,1,1,0,41326,0,3
2,C3 KAYLE,47,266,0,2,1,7,0,2,2,1,1,1,1,1,30,41326,0,2
2,64148 (C4),18,266,0,2,1,7,0,1,1,1,1,1,1,1,60,41326,0,2
1,Old: Tag 150 (Sarsi),12,307,0,2,2,0,0,2,2,3,3,3,1,1,0,41326,0,2
1,Old: Tag P77,2,307,0,2,2,0,0,2,1,3,3,3,1,1,0,41326,0,1
1,D142 (050614),19,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,1
2,,12,266,0,2,1,5,7,1,1,3,3,3,1,1,0,41326,0,2
2,R1C4 Barnaby,18,266,0,1,2,7,0,2,1,1,1,1,1,1,30,41326,0,3
1,Old: Tag 136,12,307,0,1,7,0,0,2,1,1,1,1,1,1,0,41326,0,5
2,Room 10 Cat,15,266,0,2,5,0,0,2,1,1,1,1,1,1,0,41326,0,1
1,Old: Tag P86,2,307,0,1,1,2,0,2,1,3,3,3,1,1,0,41326,0,5
1,Old: Tag 41,24,307,0,2,2,0,0,3,1,3,3,1,1,1,0,41326,0,3
1,P56 (220213),4,307,0,1,2,5,0,1,1,1,1,1,1,1,80,41326,0,3
1,D91(090314),30,109,307,2,3,0,0,3,2,1,1,1,1,1,150,41326,0,2
2,RIC4 Maxine,16,266,0,2,3,7,0,2,1,1,1,1,1,1,30,41326,0,3
1,D41(230213),42,182,0,1,2,5,0,1,1,1,1,1,1,1,250,41326,0,3
1,Old: Tag P40 (Sage),6,307,0,2,1,2,0,2,1,3,3,3,1,1,0,41326,0,4
2,64985 (C4),19,264,0,2,1,2,7,1,3,1,1,1,1,1,60,41326,0,2
1,Old: Tag 155,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,3
1,Old: Tag 82,24,307,0,2,1,2,0,3,1,3,3,3,1,1,0,41326,0,1
1,Old: Tag 160D,12,307,0,1,6,7,0,2,2,1,1,1,1,1,0,41326,0,5
1,D199(230212),36,218,307,1,2,5,0,1,2,1,1,1,1,1,150,41326,0,5
1,D151(260711),25,307,0,2,1,2,0,3,1,1,1,1,1,1,50,41326,0,2
2,,12,266,0,2,7,0,0,1,1,3,3,3,1,1,0,41326,0,3
1,Old: Tag 146,12,307,0,1,5,0,0,2,1,1,1,1,1,1,0,41326,0,2
