,Age,Breed1,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,AdoptionSpeed
0,3,156,1,1,1,1,2,2,2,1,1,100,12,2
1,1,57,1,1,2,2,3,3,3,1,1,0,3,0
2,1,104,1,2,2,2,1,1,2,1,1,0,12,3
3,4,104,2,1,2,1,1,1,2,1,1,150,3,2
4,1,104,1,1,2,1,2,2,2,1,1,0,12,2
5,3,58,2,5,2,1,2,2,2,1,1,0,12,2
6,12,56,1,1,2,3,2,2,3,1,1,300,12,1
7,0,104,2,1,2,1,2,2,2,1,6,0,12,3
8,2,57,2,6,2,2,2,2,2,1,1,0,12,1
9,12,57,2,1,2,2,3,3,3,1,1,0,12,4
10,2,104,1,1,2,1,2,1,2,1,1,0,3,1
11,3,56,2,1,3,3,1,1,2,1,1,50,12,1
12,2,104,1,2,2,3,1,1,2,1,1,0,12,2
13,2,57,3,1,1,2,2,2,3,1,7,0,12,1
14,3,104,2,2,2,2,3,3,3,1,1,0,3,2
15,78,157,1,1,2,2,3,3,3,1,1,0,12,4
16,6,58,2,2,1,1,1,1,1,1,1,0,12,3
17,8,104,2,2,2,1,2,1,1,1,1,10,8,4
18,2,104,2,1,2,1,2,1,2,1,1,0,3,2
19,1,58,3,1,1,1,2,2,2,1,5,0,12,4
20,12,104,2,2,2,2,2,1,1,1,1,0,12,2
21,3,104,2,6,2,1,2,1,2,1,3,0,12,4
22,0,78,3,3,2,2,2,2,3,1,10,0,3,4
23,10,104,2,1,2,2,1,1,1,1,1,0,12,4
24,3,58,1,2,1,1,2,1,2,1,1,0,3,1
25,36,116,1,3,3,2,1,1,1,1,1,0,12,2
26,2,116,1,3,2,2,2,2,2,1,1,0,3,1
27,1,58,2,1,2,1,2,2,2,1,1,0,12,2
28,14,128,1,1,3,1,1,1,2,1,1,1,12,3
29,1,58,2,2,1,1,2,1,2,1,1,0,9,2
30,4,141,3,2,1,2,1,1,1,1,2,0,12,3
31,1,58,1,1,1,1,2,2,2,1,1,0,13,1
32,24,104,1,5,2,1,1,1,2,1,5,0,12,4
33,4,58,2,1,1,1,2,2,2,1,2,0,12,3
34,3,58,2,1,1,1,1,2,2,1,1,1,9,4
35,12,56,2,6,2,3,2,2,2,1,1,0,12,1
36,24,57,2,1,2,2,1,1,3,1,3,0,12,4
37,2,57,2,2,1,2,2,2,2,1,1,0,12,1
38,12,104,1,1,2,1,2,2,2,1,1,0,0,1
39,12,104,1,5,2,2,1,1,2,1,1,0,12,3
40,2,57,2,7,2,2,2,1,2,1,1,0,12,3
